Country,Year,GDP_Billion_USD,GDP_Growth_%,Inflation_Rate_%,Unemployment_Rate_%,Population_Million,Export_Billion_USD,Import_Billion_USD,Foreign_Reserve_Billion_USD,Interest_Rate_%,Government_Debt_%GDP
Japan,2018,5808.9,9.17,4.64,6.62,1218.44,2607.95,567.75,1886.38,6.0,137.69
Japan,2022,15957.48,1.71,7.75,5.94,1285.65,4187.52,1151.91,1831.63,6.11,100.93
Japan,2021,19319.19,1.15,1.81,10.31,199.97,148.07,324.39,1645.57,2.32,114.89
USA,2022,14766.32,9.58,5.14,3.88,321.49,3784.23,3625.12,756.32,7.38,68.55
USA,2020,18414.63,5.44,5.28,4.67,918.18,261.73,2838.07,120.75,3.89,145.05
Germany,2017,2529.42,8.0,4.92,8.18,862.56,1327.16,359.18,488.2,5.54,54.67
Japan,2021,5077.74,3.5,3.84,11.3,806.73,517.74,871.64,418.05,2.44,40.87
Japan,2018,22226.01,-2.84,8.11,5.62,1042.77,1475.26,3034.43,904.03,2.19,126.88
Germany,2022,2563.19,4.3,2.16,2.93,330.98,4412.81,3484.7,217.53,5.76,104.09
USA,2019,9359.84,3.67,6.73,4.17,467.6,3287.03,535.03,1859.7,3.53,141.06
Japan,2020,1817.37,-2.36,3.96,6.71,580.92,3032.81,566.63,593.23,4.6,61.85
India,2022,8375.6,-3.24,3.6,6.72,267.64,272.48,2682.73,989.18,5.58,66.62
USA,2015,5121.25,2.5,3.86,3.77,568.67,1103.39,1211.39,795.79,7.2,134.88
Japan,2024,3380.84,6.38,1.04,2.76,1277.69,498.49,1724.55,668.8,2.61,127.81
Germany,2022,23708.61,3.05,3.79,7.55,896.57,1287.78,1906.15,1206.89,5.16,94.5
Germany,2015,1757.51,0.17,2.25,8.13,531.86,4536.29,2637.6,1665.51,7.84,35.37
India,2015,15127.89,6.05,7.41,3.77,144.94,4157.45,4168.03,1987.73,4.18,64.42
UK,2018,21021.2,8.11,9.87,4.98,1267.16,137.54,1583.9,348.18,1.58,52.56
Germany,2017,6308.18,-4.74,1.73,6.13,185.56,1275.38,608.03,1968.98,2.4,80.96
Japan,2015,1180.33,2.57,4.25,11.14,1176.14,3316.38,2843.22,189.42,3.07,22.88
USA,2018,15500.2,-3.78,2.05,6.08,594.56,2448.54,914.2,669.71,4.11,114.79
Japan,2019,3722.41,2.27,4.55,7.78,1037.88,1270.66,941.64,275.72,1.24,56.74
USA,2021,2734.36,1.23,5.49,2.73,661.39,3941.76,2957.21,1774.72,7.09,138.48
UK,2020,7398.49,-2.65,1.12,8.22,278.69,1974.88,3355.89,794.84,4.22,64.88
USA,2017,4752.49,2.14,4.2,10.87,758.65,3948.9,708.41,1131.11,4.89,103.2
India,2020,23992.41,6.83,4.51,9.66,391.86,3224.97,581.18,325.02,2.1,25.38
